PLUAD_name;DEP_num;NameEn;NameRus;NameKg;Length;type
RD4;4;Boroldoy-Konur-Belsaz-Ilich ;Боролой - Конур - Белсаз - Ильич;Боролой - Конур - Белсаз - Ильич;52;loc
RD4;4;128km-Gosdaroga-Terek Sai stow ;128 км - Госдорога - Урочище Терек Сай;129 км - Госдорога - Урочище Терек Сай;18;loc
RD4;4;Zhanyzhol-Zholbulak-Zhyltyr ;Жаныжол - Жолбулак - Жылтыр;Жаныжол - Жолбулак - Жылтыр;13;loc
RD4;7;Boroldoy-MTF ;Боролдой - МТФ;Боролдой - МТФ;2;loc
RD4;7;Chym Korgon-MTF ;Чымкоргон - МТФ;Чымкоргон - МТФ;5;loc
RD4;7;Kara Bulak-Beisheke;Кара Булак - Бейшеке;Кара Булак - Бейшеке;7;loc
RD4;7;Balykchy-Bokonbayevo-Karakol 56-124km;Балыкчы - Боконбаево - Каракол 56-124км;Балыкчы - Боконбаево - Каракол 56-124км;68;inter
RD4;7;Bokonbayevo-Koltor-Don Talaa with access road to Komsomol;Боконбаево - Колтор - Дон Талаа с подъездной дорогой к Комсомолу;Боконбаево - Колтор - Дон Талаа с подъездной дорогой к Комсомолу;67;nat
RD4;7;Bokonbayevo-Tosor-Zhyluusuu-Archaly;Боконбаево - Тосор - Жылуусуу - Арчалы;Боконбаево - Тосор - Жылуусуу - Арчалы;134;nat
RD4;7;"Mine ""Centralnaya"" ";"Шахта ""Центральная""";"Шахта ""Центральная""";7;loc
RD4;7;Bokonbaevo-Kyrchyn ;Боконбаево - Кырчын;Боконбаево - Кырчын;30;loc
RD4;7;Ton-Archaly ;Тон - Арчалы;Тон - Арчалы;80;loc
RD4;7;Aksai-Koksai ;Аксай - Коксай;Аксай - Коксай;8;loc
RD4;7;Burkan-Zhamanechki ;Буркан - Жаманэчки;Буркан - Жаманэчки;45;loc
RD4;7;"Gosdoroga Pioneer ""Lager"" ";Госдорога Пионерлагерь;Госдорога Пионерлагерь;3;loc
RD4;7;Tort Kul-Airport ;Торт Куль - Аэропорт;Торт Куль - Аэропорт;2;loc
RD4;7;Turning to Toguzbulak ;Поворот на Тогузбулак;Поворот на Тогузбулак;5;loc
RD4;7;Aksai-Ton ;Аксай - Тон;Аксай - Тон;10;loc
RD4;10;Tuuratam-Karooldobo;Тууратам - Кароолдобо;Тууратам - Кароолдобо;10;loc
RD4;10;Kant-Tokmok Kemin 18-39 km ;Кант - Токмок - Кемин 18-39 км;Кант - Токмок - Кемин 18-39 км;21;inter
RD4;10;Kant-Tokmok Kemin 39-86 km;Кант - Токмок - Кемин 39-86 км;Кант - Токмок - Кемин 39-86 км;47;inter
RD4;10;Tokmok-Kalinovka 0-19 km;Токмок - калиновка 0-19км;Токмок - калиновка 0-19км;19;nat
RD4;10;Tokmok-Shamshy-Tuyuk 0-42 km;Токмок - Шамси - Туюк 0-42 км;Токмок - Шамси - Туюк 0-42 км;42;nat
RD4;10;Orlovka-Chym Korgon;Орловка - Чым Коргон;Орловка - Чым Коргон;14;nat
RD4;10;Orlovka-Madaniyat-Shamshy;Орловка - Маданият - Шамси;Орловка - Маданият - Шамси;18;nat
RD4;10;Kant - Chuyskiy most 0-13,4 km;Кант - Чуйский мост 0-13,4км;Кант - Чуйский мост 0-13,4км;13,4;nat
